HIPASS public data release - v1.2 May 13, 2000 (south) 
Parkes ZOA public data release - v1.0 Oct 11, 2002 
HIPASS public data release - v1.0 Oct 14, 2004 (north) 
(untrimmed, luthered cubes)

This HI data is provided under the auspices of the Multibeam Survey
Working Group.  Users of this facility are requested to acknowledge
the ATNF in any publications as follows:

 "The Parkes telescope is part of the Australia Telescope which is
 funded by the Commonwealth of Australia for operation as a National
 Facility managed by CSIRO"

and to cite an appropriate HIPASS observations and data reduction
paper such as Barnes et al. (2001, MNRAS, 322, 486). Other HIPASS 
papers are listed here:

  http://www.atnf.csiro.au/research/multibeam/papers/papers.html

Where possible, authors are requested to include one of the terms
`ATNF', or `Parkes Telescope', in the ABSTRACT of their papers. This
is to facilitate electronic searches for publications that include
ATNF data.

Please inform Julie Tesoriero (Julie.Tesoriero@csiro.au) of 
any publications which include ATNF data. 

The data contained herein were processed in aips++. The www/cgi
scripts are based on miriad and perl.

#File: /var/www/vhosts/www.atnf.csiro.au/htdocs/research/multibeam/release/MULTI_3_HIDE/PUBLIC/H152_abcde_luther.FELO.imbin.vrd
#Robust polynomial order: none
#Spectral  axis = frequency
#Intensity axis = Jy/b
# HIPASS public data release - v1.2 May 13 2000 (south)
#  Channel        Spectral axis      Intensity
 2.00000E+00      1.426437744E+03   -5.63058E-02
 3.00000E+00      1.426375244E+03   -9.90311E-02
 4.00000E+00      1.426312744E+03   -9.46059E-03
 5.00000E+00      1.426250244E+03    1.60220E-02
 6.00000E+00      1.426187744E+03    7.62951E-03
 7.00000E+00      1.426125244E+03   -5.34066E-03
 8.00000E+00      1.426062744E+03    4.88288E-03
 9.00000E+00      1.426000244E+03   -1.67849E-02
 1.00000E+01      1.425937744E+03   -3.73846E-02
 1.10000E+01      1.425875366E+03    2.39567E-02
 1.20000E+01      1.425812744E+03    1.23598E-02
 1.30000E+01      1.425750244E+03    1.84634E-02
 1.40000E+01      1.425687744E+03   -3.06706E-02
 1.50000E+01      1.425625244E+03   -1.52590E-02
 1.60000E+01      1.425562744E+03    5.78317E-02
 1.70000E+01      1.425500244E+03    5.49325E-03
 1.80000E+01      1.425437744E+03   -1.60220E-02
 1.90000E+01      1.425375244E+03    8.08728E-02
 2.00000E+01      1.425312744E+03    3.66216E-03
 2.10000E+01      1.425250244E+03    4.89815E-02
 2.20000E+01      1.425187744E+03   -1.95315E-02
 2.30000E+01      1.425125244E+03   -1.34432E-01
 2.40000E+01      1.425062744E+03   -7.64477E-02
 2.50000E+01      1.425000244E+03    5.29488E-02
 2.60000E+01      1.424937744E+03   -3.29595E-02
 2.70000E+01      1.424875244E+03    4.88289E-03
 2.80000E+01      1.424812744E+03    6.40879E-03
 2.90000E+01      1.424750244E+03   -4.56245E-02
 3.00000E+01      1.424687744E+03   -2.82292E-02
 3.10000E+01      1.424625244E+03   -2.92973E-02
 3.20000E+01      1.424562744E+03   -2.10575E-02
 3.30000E+01      1.424500244E+03   -5.72213E-02
 3.40000E+01      1.424437744E+03   -9.47585E-02
 3.50000E+01      1.424375244E+03    3.96734E-03
 3.60000E+01      1.424312744E+03   -3.44854E-02
 3.70000E+01      1.424250244E+03   -6.34775E-02
 3.80000E+01      1.424187744E+03   -3.93683E-02
 3.90000E+01      1.424125244E+03    2.34989E-02
 4.00000E+01      1.424062744E+03   -2.34989E-02
 4.10000E+01      1.424000244E+03   -2.63981E-02
 4.20000E+01      1.423937744E+03   -1.89212E-02
 4.30000E+01      1.423875244E+03    1.67849E-03
 4.40000E+01      1.423812744E+03    3.57061E-02
 4.50000E+01      1.423750244E+03   -5.58480E-02
 4.60000E+01      1.423687744E+03   -5.38644E-02
 4.70000E+01      1.423625244E+03   -2.77714E-02
 4.80000E+01      1.423562744E+03    3.23491E-02
 4.90000E+01      1.423500244E+03    1.48012E-02
 5.00000E+01      1.423437744E+03   -4.71504E-02
 5.10000E+01      1.423375244E+03    2.65507E-02
 5.20000E+01      1.423312744E+03    1.77005E-02
 5.30000E+01      1.423250244E+03   -2.39567E-02
 5.40000E+01      1.423187744E+03    1.15969E-02
 5.50000E+01      1.423125244E+03    4.15045E-02
