HIPASS public data release - v1.2 May 13, 2000 (south) 
Parkes ZOA public data release - v1.0 Oct 11, 2002 
HIPASS public data release - v1.0 Oct 14, 2004 (north) 
(untrimmed, luthered cubes)

This HI data is provided under the auspices of the Multibeam Survey
Working Group.  Users of this facility are requested to acknowledge
the ATNF in any publications as follows:

 "The Parkes telescope is part of the Australia Telescope which is
 funded by the Commonwealth of Australia for operation as a National
 Facility managed by CSIRO"

and to cite an appropriate HIPASS observations and data reduction
paper such as Barnes et al. (2001, MNRAS, 322, 486). Other HIPASS 
papers are listed here:

  http://www.atnf.csiro.au/research/multibeam/papers/papers.html

Where possible, authors are requested to include one of the terms
`ATNF', or `Parkes Telescope', in the ABSTRACT of their papers. This
is to facilitate electronic searches for publications that include
ATNF data.

Please inform Julie Tesoriero (Julie.Tesoriero@csiro.au) of 
any publications which include ATNF data. 

The data contained herein were processed in aips++. The www/cgi
scripts are based on miriad and perl.

#File: /var/www/vhosts/www.atnf.csiro.au/htdocs/research/multibeam/release/MULTI_3_HIDE/PUBLIC/H129_abcde_luther.FELO.imbin.vrd
#Robust polynomial order: none
#Spectral  axis = frequency
#Intensity axis = Jy/b
# HIPASS public data release - v1.2 May 13 2000 (south)
#  Channel        Spectral axis      Intensity
 2.00000E+00      1.426437744E+03    1.91168E-01
 3.00000E+00      1.426375244E+03   -1.48808E-01
 4.00000E+00      1.426312744E+03    7.13828E-02
 5.00000E+00      1.426250244E+03   -2.77717E-03
 6.00000E+00      1.426187744E+03    7.03147E-02
 7.00000E+00      1.426125244E+03    4.05591E-02
 8.00000E+00      1.426062744E+03    5.65813E-02
 9.00000E+00      1.426000244E+03    1.04984E-02
 1.00000E+01      1.425937744E+03   -2.67342E-02
 1.10000E+01      1.425875366E+03    3.04880E-02
 1.20000E+01      1.425812744E+03    1.61443E-02
 1.30000E+01      1.425750244E+03    1.23295E-02
 1.40000E+01      1.425687744E+03    1.09562E-02
 1.50000E+01      1.425625244E+03   -1.28483E-02
 1.60000E+01      1.425562744E+03    1.03458E-02
 1.70000E+01      1.425500244E+03   -5.86260E-02
 1.80000E+01      1.425437744E+03   -3.78735E-02
 1.90000E+01      1.425375244E+03    7.90431E-03
 2.00000E+01      1.425312744E+03    3.47912E-03
 2.10000E+01      1.425250244E+03    1.30925E-02
 2.20000E+01      1.425187744E+03    3.78124E-02
 2.30000E+01      1.425125244E+03    5.76495E-02
 2.40000E+01      1.425062744E+03    4.02539E-02
 2.50000E+01      1.425000244E+03    7.62658E-02
 2.60000E+01      1.424937744E+03    6.58895E-02
 2.70000E+01      1.424875244E+03    5.29191E-02
 2.80000E+01      1.424812744E+03    9.27458E-02
 2.90000E+01      1.424750244E+03    7.99280E-02
 3.00000E+01      1.424687744E+03    6.34480E-02
 3.10000E+01      1.424625244E+03    5.33769E-02
 3.20000E+01      1.424562744E+03    8.72524E-02
 3.30000E+01      1.424500244E+03    4.34584E-02
 3.40000E+01      1.424437744E+03    8.42006E-02
 3.50000E+01      1.424375244E+03    4.34584E-02
 3.60000E+01      1.424312744E+03    3.56762E-02
 3.70000E+01      1.424250244E+03    3.32347E-02
 3.80000E+01      1.424187744E+03    5.61542E-03
 3.90000E+01      1.424125244E+03    1.01901E-01
 4.00000E+01      1.424062744E+03    4.30006E-02
 4.10000E+01      1.424000244E+03    3.62865E-02
 4.20000E+01      1.423937744E+03    3.06406E-02
 4.30000E+01      1.423875244E+03    1.35502E-02
 4.40000E+01      1.423812744E+03    2.54524E-02
 4.50000E+01      1.423750244E+03    1.06510E-02
 4.60000E+01      1.423687744E+03    2.74362E-02
 4.70000E+01      1.423625244E+03    8.66727E-03
 4.80000E+01      1.423562744E+03    3.68969E-02
 4.90000E+01      1.423500244E+03    2.31636E-02
 5.00000E+01      1.423437744E+03    4.69986E-03
 5.10000E+01      1.423375244E+03    1.34283E-03
 5.20000E+01      1.423312744E+03    1.49236E-02
 5.30000E+01      1.423250244E+03    1.24821E-02
 5.40000E+01      1.423187744E+03    2.85043E-02
 5.50000E+01      1.423125244E+03    3.87280E-02
 5.60000E+01      1.423062744E+03   -1.05594E-02
 5.70000E+01      1.423000244E+03    1.90436E-02
 5.80000E+01      1.422937744E+03    2.56357E-03
 5.90000E+01      1.422875244E+03    5.50554E-02
